"","date","cityid","gps_retail_and_recreation","gps_grocery_and_pharmacy","gps_parks","gps_transit_stations","gps_workplaces","gps_residential","gps_away_from_home"
"183",2020-02-27,24,0.0771,0.0214,0.341,0.0486,0.0229,-0.00857,0.0108
"184",2020-02-27,25,0.0429,0.00143,0.236,0.03,0.0214,0,0.00295
"185",2020-02-27,26,0.0557,0.0271,0.0443,0.0143,0.0229,-0.00286,0.00126
"186",2020-02-27,27,0.04,0.116,0.234,0.0357,0.0157,-0.00429,0.00766
"187",2020-02-27,28,-0.00286,0.0314,-0.0443,0.02,0.0286,-0.00143,1.31e-05
"188",2020-02-27,29,0.0129,-0.0386,0.0929,0.04,0.0114,0.00143,0.000952
"189",2020-02-27,30,0.0571,0.00857,0.146,0.0671,0.0243,-0.00286,0.00567
"190",2020-02-27,31,0.0757,0.0271,0.166,0.0314,0.0343,-0.00429,0.00948
"191",2020-02-27,32,0.06,0.0529,-0.00286,0.02,0.0186,-0.00286,0.000701
"192",2020-02-27,33,0.0229,0.05,0.0214,0.00143,-0.0171,0.00286,-0.00322
"193",2020-02-27,34,0.0757,0.0214,0.22,0.0257,0.0157,-0.00571,0.00733
"194",2020-02-27,35,0.0443,0.0157,0.3,0.0286,0.0171,-0.00714,0.00984
"195",2020-02-27,36,0.0371,-0.0129,0.107,0.0286,0.0114,-0.00286,0.00466
"196",2020-02-27,37,0.0771,0.0214,0.131,0.0514,0.06,-0.0114,0.015
"197",2020-02-27,38,0.0171,0.00571,-0.00286,-0.01,0.02,0,-3.16e-08
"198",2020-02-27,39,-0.00286,-0.0471,0.156,0.03,-0.0214,0.0129,-0.0116
"199",2020-02-27,40,0.0857,0.0843,0.339,0.0557,0.0286,-0.0114,0.0169
"200",2020-02-27,41,0.0186,0.0229,0.186,0.0343,0.03,-0.00714,0.00984
"201",2020-02-27,42,0.05,0.02,0.134,0.0843,0.0214,-0.00857,0.013
"202",2020-02-27,43,0.0386,0.0143,0.0186,0.0457,0.0214,-0.00143,0.00305
"203",2020-02-27,44,0.481,0.457,0.651,1.1,-0.186,0.0129,-0.0038
"204",2020-02-27,45,0.0729,0.0143,0.01,0.0229,0.0243,-0.00429,0.00422
"205",2020-02-27,46,0.0343,-0.01,0.276,0.0614,0.0214,-0.00286,0.00704
"206",2020-02-27,47,0.0714,0.0171,0.249,0.0386,0.0129,-0.00286,0.00344
"207",2020-02-27,48,0.0171,0.0129,0.0829,0.00286,0.0143,-0.00143,0.0028
"208",2020-02-27,49,0.0714,0.0757,0.479,0.0486,0.0271,-0.0114,0.0144
"209",2020-02-27,50,0.0886,0.1,0.23,0.05,0.0329,-0.00857,0.0104
"210",2020-02-27,51,0.0286,-0.0129,0.0857,2.66e-10,0.01,0.00714,-0.00512
"211",2020-02-27,52,0.0171,0.01,-0.134,-0.00714,0.0229,0.00143,-0.0058
"212",2020-02-27,53,0.0471,0.0157,0.01,0.07,0.02,-0.00143,0.000686
"213",2020-02-28,1,0.0229,0.0114,0.08,0.01,0.0257,-0.00571,0.005
"214",2020-02-28,2,0.0266,-0.00444,0.119,0.00882,0.0341,-0.00282,0.00543
"215",2020-02-28,3,0.0471,0.0329,0.267,0.0257,0.0186,-0.00714,0.0131
"216",2020-02-28,4,0.0657,0.0214,0.109,0.0171,0.0129,-0.00571,0.0069
"217",2020-02-28,5,0.0586,0.00429,0.0429,0.0629,0.0143,-0.00143,-0.000187
"218",2020-02-28,6,0.02,-0.00857,0.0471,0.00571,0.0329,-0.00429,0.0025
"219",2020-02-28,7,0.0643,0.0229,0.161,0.0229,0.0329,-0.0143,0.0143
"220",2020-02-28,8,0.05,0.00714,0.0671,0.0214,-0.00143,0,-0.00198
"221",2020-02-28,9,0.0386,-0.00571,0.3,0.0443,0.0129,-0.00571,0.00723
"222",2020-02-28,10,0.0586,0.03,0.164,0.0429,0.0357,-0.0157,0.0172
"223",2020-02-28,11,0.0657,0.0714,0.09,0.00429,0.0243,-0.0157,0.0183
"224",2020-02-28,12,0.0114,0.0243,0.199,-0.0171,0.0343,-0.00571,0.00845
"225",2020-02-28,13,0.05,0,0.241,0.137,-0.0171,0.01,-0.00596
"226",2020-02-28,14,0.0714,0.0243,0.354,0.0357,0.0271,-0.00286,0.00562
"227",2020-02-28,15,0.0471,0.0243,0.159,0.0271,0.01,0,0.00335
"228",2020-02-28,16,0.0557,0.0229,0.16,0.00714,0.0443,-0.0129,0.0142
"229",2020-02-28,17,0.0657,0.00571,0.203,0.0843,0.0271,-0.0114,0.0139
"230",2020-02-28,18,0.0586,0.00571,0.19,0.0271,0.0171,0,0.00293
"231",2020-02-28,19,0.0314,0.00714,-0.0129,0.0386,0.0157,-0.00286,0.00294
"232",2020-02-28,20,0.0586,0.0471,0.164,0.0214,0.0214,-0.00714,0.00644
"233",2020-02-28,21,0.0329,0.0257,0.15,0.00571,0.0214,-0.00286,0.00283
"234",2020-02-28,22,0.0714,0.03,-0.203,0.169,0.0286,-0.0129,0.0144
